Date,Low,Open,Close,High
2014-01-21 00:00:00,861.95,871.05,874.29,895.96
2014-01-22 00:00:00,854.35,874.29,863.95,884.5
2014-01-23 00:00:00,848.72,863.95,854.35,883.91
2014-01-24 00:00:00,785.01,854.35,825.12,862.21
2014-01-25 00:00:00,821.34,825.12,861.85,889.04
2014-01-26 00:00:00,851.75,861.85,880.15,899.36
2014-01-27 00:00:00,800.34,880.15,814.53,888.18
2014-01-28 00:00:00,784.08,814.53,833.94,879.1
2014-01-29 00:00:00,828.77,833.94,837.51,862.62
2014-01-30 00:00:00,816.36,837.51,845.85,875.27
2014-01-31 00:00:00,839.83,845.85,848.29,852.48
2014-02-01 00:00:00,843.35,848.29,853.02,874.36
2014-02-02 00:00:00,850.5,853.02,854.37,884.79
2014-02-03 00:00:00,843.86,854.37,846.9,874.68
2014-02-04 00:00:00,841.38,846.9,842.01,852.27
2014-02-05 00:00:00,819.85,842.01,820.87,864.59
2014-02-06 00:00:00,780.09,820.87,783.62,825.38
2014-02-07 00:00:00,658.87,783.62,703.57,784.85
2014-02-08 00:00:00,665.4,703.57,676.91,721.86
2014-02-09 00:00:00,657.94,676.91,681.94,708.79
2014-02-10 00:00:00,535.78,681.94,679.73,704.65
2014-02-11 00:00:00,635.36,679.73,669.44,713.07
2014-02-12 00:00:00,633.87,669.44,648.38,677.24
2014-02-13 00:00:00,595,648.38,598.41,659.76
2014-02-14 00:00:00,532.8,598.41,656.61,708.22
2014-02-15 00:00:00,626.86,656.61,645.43,658.63
2014-02-16 00:00:00,576.34,645.43,610.65,667.54
2014-02-17 00:00:00,603.16,610.65,621.49,653.91
2014-02-18 00:00:00,608.03,621.49,621.22,644.5
2014-02-19 00:00:00,611.23,621.22,617.71,635.42
2014-02-20 00:00:00,548.49,617.71,552.21,627.18
2014-02-21 00:00:00,525.41,552.21,569.04,581.59
2014-02-22 00:00:00,554.6,569.04,604.75,612.55
2014-02-23 00:00:00,595.6,604.75,604.58,637.49
2014-02-24 00:00:00,535.19,604.58,545.32,606.94
2014-02-25 00:00:00,418.78,545.32,534.71,545.32
2014-02-26 00:00:00,531.45,534.71,577.09,604.19
2014-02-27 00:00:00,558.49,577.09,576.7,594.1
2014-02-28 00:00:00,540.58,576.7,543.93,587.56
2014-03-01 00:00:00,536.06,543.93,563.74,573.65
2014-03-02 00:00:00,547.83,563.74,560.3,569.05
2014-03-03 00:00:00,557.75,560.3,661.12,678.5
2014-03-04 00:00:00,653.9,661.12,663.6,698.55
2014-03-05 00:00:00,643.67,663.6,661.79,669.31
2014-03-06 00:00:00,644.68,661.79,658.72,666
2014-03-07 00:00:00,611.36,658.72,625.83,658.91
2014-03-08 00:00:00,601.32,625.83,615.24,632.61
2014-03-09 00:00:00,610.07,615.24,633.18,645.3
2014-03-10 00:00:00,611.4,633.18,625.83,642.75
2014-03-11 00:00:00,615.53,625.83,628.95,634.85
2014-03-12 00:00:00,627.65,628.95,631.39,645.9
2014-03-13 00:00:00,628.02,631.39,638.16,641.77
2014-03-14 00:00:00,625.01,638.16,626.71,638.98
2014-03-15 00:00:00,625.19,626.71,633.67,636.12
2014-03-16 00:00:00,627.75,633.67,630.72,635.82
2014-03-17 00:00:00,616.43,630.72,621.22,631.01
2014-03-18 00:00:00,599.93,621.22,613.63,621.45
2014-03-19 00:00:00,607.73,613.63,608.82,621.64
2014-03-20 00:00:00,583.68,608.82,586.59,608.82
2014-03-21 00:00:00,563.79,586.59,570.77,605.31
2014-03-22 00:00:00,550.84,570.77,564.42,571.93
2014-03-23 00:00:00,560.25,564.42,561.35,570.47
2014-03-24 00:00:00,551.48,561.35,586.27,588.14
2014-03-25 00:00:00,570.6,586.27,582.28,586.27
2014-03-26 00:00:00,568.9,582.28,579.07,590.27
2014-03-27 00:00:00,471.03,579.07,478.16,580.4
2014-03-28 00:00:00,471.34,478.16,502.44,527.84
2014-03-29 00:00:00,488.71,502.44,493.18,506.46
2014-03-30 00:00:00,443.26,493.18,461.87,493.18
2014-03-31 00:00:00,442.46,461.87,458.5,483.98
2014-04-01 00:00:00,455.7,458.5,478.72,500.71
2014-04-02 00:00:00,430.17,478.72,437.51,495.08
2014-04-03 00:00:00,414.41,437.51,447.08,456.42
2014-04-04 00:00:00,428.76,447.08,448.88,456.05
2014-04-05 00:00:00,444.47,448.88,464.83,464.83
2014-04-06 00:00:00,450.92,464.83,460.7,466.53
2014-04-07 00:00:00,443.83,460.7,446.22,461.8
2014-04-08 00:00:00,444.84,446.22,450.46,456.89
2014-04-09 00:00:00,439.69,450.46,440.2,453.56
2014-04-10 00:00:00,355.41,440.2,360.84,441.15
2014-04-11 00:00:00,344.24,360.84,420.06,429.79
2014-04-12 00:00:00,413.29,420.06,420.66,438.97
2014-04-13 00:00:00,394.34,420.66,414.95,426.64
2014-04-14 00:00:00,406.95,414.95,457.63,471.04
2014-04-15 00:00:00,452.48,457.63,520.12,525.09
2014-04-16 00:00:00,493.38,520.12,529.16,543.48
2014-04-17 00:00:00,481.57,529.16,494.4,534.14
2014-04-18 00:00:00,468.33,494.4,478.23,498.01
2014-04-19 00:00:00,468.02,478.23,501.55,502.88
2014-04-20 00:00:00,489.36,501.55,497.32,511.87
2014-04-21 00:00:00,489.15,497.32,493.09,510.61
2014-04-22 00:00:00,483,493.09,484.43,499.39
2014-04-23 00:00:00,480.71,484.43,486.93,490.04
2014-04-24 00:00:00,477.66,486.93,500.26,500.76
2014-04-25 00:00:00,440.31,500.26,459.61,500.29
2014-04-26 00:00:00,447.66,459.61,456.14,463.35
2014-04-27 00:00:00,429.65,456.14,429.65,457.59
2014-04-28 00:00:00,421.33,429.65,437.06,445.78
2014-04-29 00:00:00,431.29,437.06,444.25,449.12
2014-04-30 00:00:00,433.07,444.25,445.87,448.79
2014-05-01 00:00:00,445.76,445.87,456.27,459.71
2014-05-02 00:00:00,440.12,456.27,446.64,457.08
2014-05-03 00:00:00,428.65,446.64,436.94,446.92
2014-05-04 00:00:00,428.52,436.94,434.06,438.58
2014-05-05 00:00:00,425.52,434.06,429.72,438.6
2014-05-06 00:00:00,418.11,429.72,426.99,431.56
2014-05-07 00:00:00,423.34,426.99,436.96,446.66
2014-05-08 00:00:00,435.17,436.96,435.34,445.18
2014-05-09 00:00:00,434.61,435.34,448.23,451.5
2014-05-10 00:00:00,446.5,448.23,452.71,453.66
2014-05-11 00:00:00,430.53,452.71,436.54,453.43
2014-05-12 00:00:00,431.63,436.54,438.43,440.22
2014-05-13 00:00:00,433.19,438.43,437.41,439.57
2014-05-14 00:00:00,437.08,437.41,441.75,445.12
2014-05-15 00:00:00,441.37,441.75,444.32,447.78
2014-05-16 00:00:00,442.05,444.32,445.01,447.3
2014-05-17 00:00:00,443.78,445.01,446.36,446.92
2014-05-18 00:00:00,443.38,446.36,444.81,446.54
2014-05-19 00:00:00,442.22,444.81,444.31,445.77
2014-05-20 00:00:00,443.83,444.31,485.83,494.29
2014-05-21 00:00:00,484.24,485.83,489.16,494.75
2014-05-22 00:00:00,487.71,489.16,526.06,526.9
2014-05-23 00:00:00,517.43,526.06,519.04,543.31
2014-05-24 00:00:00,511.91,519.04,525.63,525.63
2014-05-25 00:00:00,525.28,525.63,570.09,579.5
2014-05-26 00:00:00,564.79,570.09,581.83,590.11
2014-05-27 00:00:00,549.81,581.83,569.63,591.41
2014-05-28 00:00:00,560.62,569.63,574.45,577.05
2014-05-29 00:00:00,556.41,574.45,565.51,576.08
2014-05-30 00:00:00,565.25,565.51,616.47,622.61
2014-05-31 00:00:00,603.3,616.47,623.26,624.36
2014-06-01 00:00:00,618.61,623.26,629.02,676.75
2014-06-02 00:00:00,611.31,629.02,658.79,667.34
2014-06-03 00:00:00,646.35,658.79,665.73,675.91
2014-06-04 00:00:00,616.95,665.73,636.78,667.39
2014-06-05 00:00:00,635.86,636.78,656.06,665.14
2014-06-06 00:00:00,645.56,656.06,645.56,658.03
2014-06-07 00:00:00,635.85,645.56,652.71,653
2014-06-08 00:00:00,649.59,652.71,653.64,657.09
2014-06-09 00:00:00,637.63,653.64,645.34,654.42
2014-06-10 00:00:00,641.42,645.34,649.81,658.02
2014-06-11 00:00:00,626.16,649.81,627.91,654.96
2014-06-12 00:00:00,562.84,627.91,581.8,634.51
2014-06-13 00:00:00,581.38,581.8,597.43,613.73
2014-06-14 00:00:00,541.53,597.43,571.69,598.28
2014-06-15 00:00:00,551.45,571.69,591.97,592.19
2014-06-16 00:00:00,584.94,591.97,588.06,606.86
2014-06-17 00:00:00,585.96,588.06,607.34,609.3
2014-06-18 00:00:00,599.94,607.34,604.88,614.17
2014-06-19 00:00:00,591.76,604.88,592.26,606.08
2014-06-20 00:00:00,581.51,592.26,588.52,595.24
2014-06-21 00:00:00,581.31,588.52,591.03,593.72
2014-06-22 00:00:00,590.71,591.03,598.88,603.3
2014-06-23 00:00:00,581.03,598.88,587.46,599.79
2014-06-24 00:00:00,574.32,587.46,575.07,590.71
2014-06-25 00:00:00,558.69,575.07,562.13,578.55
2014-06-26 00:00:00,560.3,562.13,579.38,580.14
2014-06-27 00:00:00,576.5,579.38,600.86,600.86
2014-06-28 00:00:00,591.48,600.86,591.99,604.52
2014-06-29 00:00:00,588.34,591.99,598.6,600.65
2014-06-30 00:00:00,596.33,598.6,639.36,643.43
2014-07-01 00:00:00,635.53,639.36,635.59,654.77
2014-07-02 00:00:00,627.93,635.59,647.34,653.82
2014-07-03 00:00:00,635.45,647.34,640.69,647.72
2014-07-04 00:00:00,626.23,640.69,626.96,644.99
2014-07-05 00:00:00,624.7,626.96,628.33,630.65
2014-07-06 00:00:00,627.56,628.33,631.71,636.09
2014-07-07 00:00:00,612.28,631.71,617.99,633.29
2014-07-08 00:00:00,615.9,617.99,620.22,623.68
2014-07-09 00:00:00,616.35,620.22,620.55,624.03
2014-07-10 00:00:00,608.58,620.55,615.11,621.59
2014-07-11 00:00:00,613.08,615.11,631.18,631.58
2014-07-12 00:00:00,626.22,631.18,634.48,636.64
2014-07-13 00:00:00,625.81,634.48,627.58,635.12
2014-07-14 00:00:00,616.16,627.58,618.38,627.94
2014-07-15 00:00:00,617.87,618.38,619.36,622.6
2014-07-16 00:00:00,612.89,619.36,615.2,620.72
2014-07-17 00:00:00,612,615.2,622.62,627.07
2014-07-18 00:00:00,616.66,622.62,628.22,628.22
2014-07-19 00:00:00,623.89,628.22,625.8,628.78
2014-07-20 00:00:00,618.8,625.8,621.37,625.8
2014-07-21 00:00:00,616.25,621.37,620.01,621.66
2014-07-22 00:00:00,618.81,620.01,618.81,622.59
2014-07-23 00:00:00,617.18,618.81,617.93,619.97
2014-07-24 00:00:00,591.58,617.93,600.01,618.6
2014-07-25 00:00:00,593.79,600.01,599.93,606.22
2014-07-26 00:00:00,590.21,599.93,593.85,599.93
2014-07-27 00:00:00,590.02,593.85,590.95,598.24
2014-07-28 00:00:00,511.87,590.95,584.69,623.06
2014-07-29 00:00:00,577.41,584.69,582.2,586.76
2014-07-30 00:00:00,560.2,582.2,564.37,582.2
2014-07-31 00:00:00,559.85,564.37,581.35,588.04
2014-08-01 00:00:00,581.35,581.35,595.08,601.94
2014-08-02 00:00:00,584.09,595.08,587.29,595.15
2014-08-03 00:00:00,577.82,587.29,585.51,588.43
2014-08-04 00:00:00,582.41,585.51,586.76,592.85
2014-08-05 00:00:00,580.07,586.76,583.11,588.09
2014-08-06 00:00:00,578.58,583.11,583.04,586.97
2014-08-07 00:00:00,581.94,583.04,587.4,590.83
2014-08-08 00:00:00,587.3,587.4,590.53,598.78
2014-08-09 00:00:00,585.1,590.53,588.09,590.53
2014-08-10 00:00:00,585.86,588.09,589.45,593.72
2014-08-11 00:00:00,570.64,589.45,573.31,589.87
2014-08-12 00:00:00,563,573.31,568.21,573.94
2014-08-13 00:00:00,524.45,568.21,544.57,571.22
2014-08-14 00:00:00,495.45,544.57,508.55,544.62
2014-08-15 00:00:00,483.58,508.55,496.62,517.25
2014-08-16 00:00:00,484.45,496.62,519.83,522.25
