Date,High,Close,Open,Low
"Jan 25, 2018",11785.7,11259.4,11421.7,11057.4
"Jan 24, 2018",11501.4,11359.4,10903.4,10639.8
"Jan 23, 2018",11377.6,10868.4,10944.5,10129.7
"Jan 22, 2018",11966.4,10931.4,11633.1,10240.2
"Jan 21, 2018",12895.9,11600.1,12889.2,11288.2
"Jan 20, 2018",13103,12899.2,11656.2,11656.2
"Jan 19, 2018",11992.8,11607.4,11429.8,11172.1
"Jan 18, 2018",12107.3,11474.9,11198.8,10942.5
"Jan 17, 2018",11678,11188.6,11431.1,9402.29
"Jan 16, 2018",13843.1,11490.5,13836.1,10194.9
"Jan 15, 2018",14445.5,13819.8,13767.3,13641.7
"Jan 14, 2018",14511.8,13772,14370.8,13268
"Jan 13, 2018",14659.5,14360.2,13952.4,13952.4
"Jan 12, 2018",14229.9,13980.6,13453.9,13158.1
"Jan 11, 2018",15018.8,13405.8,14968.2,13105.9
"Jan 10, 2018",14973.3,14973.3,14588.5,13691.2
"Jan 09, 2018",15497.5,14595.4,15123.7,14424
"Jan 08, 2018",16537.9,15170.1,16476.2,14208.2
"Jan 07, 2018",17579.6,16477.6,17527.3,16087.7
"Jan 06, 2018",17712.4,17527,17462.1,16764.6
"Jan 05, 2018",17705.2,17429.5,15477.2,15202.8
"Jan 04, 2018",15739.7,15599.2,15270.7,14522.2
"Jan 03, 2018",15572.8,15201,14978.2,14844.5
"Jan 02, 2018",15444.6,14982.1,13625,13163.6
"Jan 01, 2018",14112.2,13657.2,14112.2,13154.7
"Dec 31, 2017",14377.4,14156.4,12897.7,12755.6
"Dec 30, 2017",14681.9,12952.2,14681.9,12350.1
"Dec 29, 2017",15279,14656.2,14695.8,14307
"Dec 28, 2017",15888.4,14606.5,15864.1,13937.3
"Dec 27, 2017",16930.9,15838.5,16163.5,15114.3
"Dec 26, 2017",16461.2,16099.8,14036.6,14028.9
